time,power
2024-11-23 16:51:08.917955,229
2024-11-23 16:51:13.938540,230
2024-11-23 16:51:18.987101,229
2024-11-23 16:51:24.028679,231
2024-11-23 16:51:26.731780,230
2024-11-23 16:51:34.152442,231
2024-11-23 16:51:39.179404,231
2024-11-23 16:51:44.229961,231
2024-11-23 16:51:48.746109,231
2024-11-23 16:51:53.817667,229
2024-11-23 16:51:58.847233,234
2024-11-23 16:52:03.853886,230
2024-11-23 16:52:08.898445,231
2024-11-23 16:52:13.973997,230
2024-11-23 16:52:19.052538,567
2024-11-23 16:52:24.082143,461
2024-11-23 16:52:29.197650,455
2024-11-23 16:52:34.276180,457
2024-11-23 16:52:38.804279,467
2024-11-23 16:52:43.910765,444
2024-11-23 16:52:48.934499,447
2024-11-23 16:52:53.972010,450
2024-11-23 16:52:59.019599,453
2024-11-23 16:53:04.100134,452
2024-11-23 16:53:09.113744,452
2024-11-23 16:53:14.163154,453
2024-11-23 16:53:19.224870,453
2024-11-23 16:53:23.807360,453
2024-11-23 16:53:28.817612,453
2024-11-23 16:53:33.846136,454
2024-11-23 16:53:38.874828,455
2024-11-23 16:53:43.948400,456
2024-11-23 16:53:49.014988,454
2024-11-23 16:53:54.092516,453
2024-11-23 16:53:59.115157,453
2024-11-23 16:54:04.175661,453
2024-11-23 16:54:08.762772,461
2024-11-23 16:54:13.838290,454
2024-11-23 16:54:18.923845,454
2024-11-23 16:54:23.973403,453
2024-11-23 16:54:29.046973,454
2024-11-23 16:54:34.138545,452
2024-11-23 16:54:39.197046,455
2024-11-23 16:54:43.788954,456
2024-11-23 16:54:48.875701,455
2024-11-23 16:54:53.932265,453
2024-11-23 16:54:59.047747,454
2024-11-23 16:55:04.051441,454
2024-11-23 16:55:09.075053,456
2024-11-23 16:55:14.113617,454
2024-11-23 16:55:19.130200,455
2024-11-23 16:55:24.176825,454
2024-11-23 16:55:29.217425,455
2024-11-23 16:55:33.734589,455
2024-11-23 16:55:38.805964,455
2024-11-23 16:55:43.827720,456
2024-11-23 16:55:48.856368,455
2024-11-23 16:55:53.886939,454
2024-11-23 16:55:58.925509,457
2024-11-23 16:56:03.965132,454
2024-11-23 16:56:09.023810,456
2024-11-23 16:56:14.089268,1090
2024-11-23 16:56:19.206732,524
2024-11-23 16:56:23.868760,516
2024-11-23 16:56:26.741683,518
2024-11-23 16:56:33.972929,517
2024-11-23 16:56:39.001498,516
2024-11-23 16:56:44.053104,451
2024-11-23 16:56:49.092738,291
2024-11-23 16:56:54.165878,293
2024-11-23 16:56:59.242808,292
2024-11-23 16:57:03.755960,290
2024-11-23 16:57:08.781569,290
2024-11-23 16:57:13.812175,291
2024-11-23 16:57:18.858725,290
2024-11-23 16:57:23.905328,291
2024-11-23 16:57:28.930025,290
2024-11-23 16:57:34.074557,292
2024-11-23 16:57:36.739517,288
2024-11-23 16:57:44.194337,289
2024-11-23 16:57:49.203195,286
2024-11-23 16:57:53.833219,287
2024-11-23 16:57:58.876785,288
2024-11-23 16:58:03.885434,284
2024-11-23 16:58:08.941028,285
2024-11-23 16:58:14.007583,284
2024-11-23 16:58:19.008196,285
2024-11-23 16:58:24.038625,285
2024-11-23 16:58:29.104420,285
2024-11-23 16:58:34.121989,286
2024-11-23 16:58:39.165555,286
2024-11-23 16:58:43.743663,286
2024-11-23 16:58:48.804228,284
2024-11-23 16:58:53.884739,284
2024-11-23 16:58:58.920353,285
2024-11-23 16:59:03.947001,285
2024-11-23 16:59:09.030517,284
2024-11-23 16:59:14.085057,284
2024-11-23 16:59:19.132661,284
2024-11-23 16:59:24.166271,284
2024-11-23 16:59:29.224837,288
2024-11-23 16:59:33.752951,285
2024-11-23 16:59:38.756613,284
2024-11-23 16:59:43.862144,284
2024-11-23 16:59:48.906734,286
2024-11-23 16:59:53.989256,287
2024-11-23 16:59:59.008893,285
2024-11-23 17:00:04.041500,284
2024-11-23 17:00:09.142013,285
2024-11-23 17:00:14.205648,288
2024-11-23 17:00:19.227892,285
2024-11-23 17:00:23.773256,284
2024-11-23 17:00:28.850849,285
2024-11-23 17:00:33.933377,285
2024-11-23 17:00:36.783289,285
2024-11-23 17:00:44.030505,288
2024-11-23 17:00:49.140047,284
2024-11-23 17:00:54.178648,284
2024-11-23 17:00:59.222223,283
2024-11-23 17:01:03.761340,284
2024-11-23 17:01:08.813954,284
2024-11-23 17:01:13.858533,284
2024-11-23 17:01:18.939081,283
2024-11-23 17:01:23.980644,283
2024-11-23 17:01:29.109155,284
2024-11-23 17:01:34.147789,283
2024-11-23 17:01:39.160365,284
2024-11-23 17:01:44.241921,284
2024-11-23 17:01:48.751094,284
2024-11-23 17:01:53.795685,282
2024-11-23 17:01:58.824619,285
2024-11-23 17:02:03.874714,283
2024-11-23 17:02:08.966437,283
2024-11-23 17:02:14.075975,282
2024-11-23 17:02:19.122501,284
2024-11-23 17:02:24.190039,281
2024-11-23 17:02:29.843004,282
2024-11-23 17:02:33.852730,282
2024-11-23 17:02:38.931242,282
2024-11-23 17:02:44.084710,282
2024-11-23 17:02:49.107337,283
2024-11-23 17:02:54.130948,283
2024-11-23 17:02:59.162537,284
2024-11-23 17:03:04.177191,283
2024-11-23 17:03:09.188888,283
2024-11-23 17:03:14.217504,284
2024-11-23 17:03:19.239160,283
2024-11-23 17:03:23.775281,282
2024-11-23 17:03:28.862830,287
2024-11-23 17:03:33.903094,284
2024-11-23 17:03:38.987946,283
2024-11-23 17:03:44.067354,284
2024-11-23 17:03:49.153056,287
2024-11-23 17:03:54.165622,284
2024-11-23 17:03:59.229269,281
2024-11-23 17:04:04.262821,282
2024-11-23 17:04:08.835938,281
2024-11-23 17:04:13.834517,281
2024-11-23 17:04:18.893138,281
2024-11-23 17:04:23.901746,279
2024-11-23 17:04:28.958336,281
2024-11-23 17:04:33.978914,281
2024-11-23 17:04:39.000565,282
2024-11-23 17:04:44.088074,285
2024-11-23 17:04:49.197595,280
2024-11-23 17:04:53.755694,280
2024-11-23 17:04:58.796271,279
2024-11-23 17:05:03.853926,280
2024-11-23 17:05:08.863474,279
2024-11-23 17:05:13.928034,279
2024-11-23 17:05:18.960651,279
2024-11-23 17:05:24.019222,280
2024-11-23 17:05:29.095780,280
2024-11-23 17:05:34.139331,280
2024-11-23 17:05:39.200879,281
2024-11-23 17:05:43.761032,244
2024-11-23 17:05:48.792648,240
2024-11-23 17:05:53.907136,241
2024-11-23 17:05:59.013740,240
2024-11-23 17:06:04.103208,239
2024-11-23 17:06:09.176742,240
2024-11-23 17:06:13.790797,207
2024-11-23 17:06:18.875345,165
2024-11-23 17:06:23.970871,176
2024-11-23 17:06:29.007450,164
2024-11-23 17:06:34.037149,164
2024-11-23 17:06:39.056157,166
2024-11-23 17:06:44.151347,146
2024-11-23 17:06:49.185943,149
2024-11-23 17:06:54.208866,152
2024-11-23 17:06:59.218156,145
2024-11-23 17:07:03.778136,146
2024-11-23 17:07:08.800237,146
2024-11-23 17:07:13.831502,175
2024-11-23 17:07:18.845109,152
2024-11-23 17:07:23.914663,147
2024-11-23 17:07:28.948172,147
2024-11-23 17:07:34.029813,158
2024-11-23 17:07:39.092365,207
2024-11-23 17:07:44.139972,208
2024-11-23 17:07:49.273449,211
2024-11-23 17:07:53.796594,207
2024-11-23 17:07:58.827182,208
2024-11-23 17:08:03.848774,207
2024-11-23 17:08:08.893406,207
2024-11-23 17:08:13.940986,206
2024-11-23 17:08:18.949594,206
2024-11-23 17:08:23.979190,206
2024-11-23 17:08:29.072722,192
2024-11-23 17:08:34.121302,156
2024-11-23 17:08:39.194846,156
2024-11-23 17:08:44.224451,157
2024-11-23 17:08:49.242938,155
2024-11-23 17:08:54.752157,188
2024-11-23 17:08:58.827731,190
2024-11-23 17:09:03.873338,209
2024-11-23 17:09:08.892941,221
2024-11-23 17:09:13.953526,240
2024-11-23 17:09:18.962106,1527
2024-11-23 17:09:24.060658,1721
2024-11-23 17:09:29.134180,1726
2024-11-23 17:09:34.168808,1726
2024-11-23 17:09:39.221558,1727
2024-11-23 17:09:43.830402,1723
2024-11-23 17:09:48.910973,1722
2024-11-23 17:09:53.931555,371
2024-11-23 17:09:58.974126,211
2024-11-23 17:10:04.068667,560
2024-11-23 17:10:09.132245,531
2024-11-23 17:10:14.163833,496
2024-11-23 17:10:19.169422,346
2024-11-23 17:10:24.768431,517
2024-11-23 17:10:28.790114,485
2024-11-23 17:10:33.806725,503
2024-11-23 17:10:38.884224,277
2024-11-23 17:10:43.898876,345
2024-11-23 17:10:49.021418,287
2024-11-23 17:10:54.030968,557
2024-11-23 17:10:59.115506,522
2024-11-23 17:11:04.162142,386
2024-11-23 17:11:09.204726,389
2024-11-23 17:11:14.211343,524
2024-11-23 17:11:19.224915,493
2024-11-23 17:11:23.850981,378
2024-11-23 17:11:28.897556,379
2024-11-23 17:11:33.949114,380
2024-11-23 17:11:39.037636,509
2024-11-23 17:11:44.090221,382
2024-11-23 17:11:49.135834,381
2024-11-23 17:11:54.151427,507
2024-11-23 17:11:59.216966,383
2024-11-23 17:12:04.271628,382
2024-11-23 17:12:08.818688,503
2024-11-23 17:12:13.878971,494
2024-11-23 17:12:18.998316,383
2024-11-23 17:12:24.068302,405
2024-11-23 17:12:29.097925,1522
2024-11-23 17:12:34.188401,1925
2024-11-23 17:12:39.235174,1946
2024-11-23 17:12:43.833059,1951
2024-11-23 17:12:48.899705,1950
2024-11-23 17:12:53.919211,1074
2024-11-23 17:12:58.945498,399
2024-11-23 17:13:04.003481,696
2024-11-23 17:13:09.023152,933
2024-11-23 17:13:14.117712,725
2024-11-23 17:13:19.131295,506
2024-11-23 17:13:24.195895,491
2024-11-23 17:13:29.237500,512
2024-11-23 17:13:34.753542,499
2024-11-23 17:13:38.827195,520
2024-11-23 17:13:43.926742,625
2024-11-23 17:13:48.947941,796
2024-11-23 17:13:54.026852,715
2024-11-23 17:13:59.043480,501
2024-11-23 17:14:04.125018,485
2024-11-23 17:14:09.148390,1707
2024-11-23 17:14:14.157235,1916
2024-11-23 17:14:24.196484,710
2024-11-23 17:14:26.767715,1592
2024-11-23 17:14:31.293815,1940
2024-11-23 17:14:36.413582,1943
2024-11-23 17:14:41.427971,728
2024-11-23 17:14:46.497106,409
2024-11-23 17:14:51.538070,401
2024-11-23 17:14:56.629632,486
2024-11-23 17:15:01.636256,432
2024-11-23 17:15:06.736789,406
2024-11-23 17:15:11.274387,410
2024-11-23 17:15:16.363451,408
2024-11-23 17:15:21.378067,236
2024-11-23 17:15:26.458581,182
2024-11-23 17:15:29.228564,182
2024-11-23 17:15:36.566779,185
2024-11-23 17:15:39.228860,176
2024-11-23 17:15:46.691890,211
2024-11-23 17:15:51.703447,173
2024-11-23 17:15:57.296461,169
2024-11-23 17:16:01.306174,205
2024-11-23 17:16:06.385686,153
2024-11-23 17:16:11.434257,151
2024-11-23 17:16:16.500967,152
2024-11-23 17:16:21.482597,175
2024-11-23 17:16:26.497163,155
2024-11-23 17:16:31.541676,153
2024-11-23 17:16:36.594354,152
2024-11-23 17:16:41.632869,153
2024-11-23 17:16:46.680427,173
2024-11-23 17:16:51.738974,153
2024-11-23 17:16:56.290103,157
2024-11-23 17:17:01.375646,157
2024-11-23 17:17:06.409223,126
2024-11-23 17:17:11.420815,105
2024-11-23 17:17:16.457434,108
2024-11-23 17:17:21.529964,116
2024-11-23 17:17:26.659427,121
2024-11-23 17:17:31.679062,290
2024-11-23 17:17:36.727773,350
2024-11-23 17:17:41.241805,334
2024-11-23 17:17:46.352278,200
2024-11-23 17:17:51.406463,216
2024-11-23 17:17:56.472791,247
2024-11-23 17:18:01.496042,232
2024-11-23 17:18:06.621524,198
2024-11-23 17:18:11.644135,193
2024-11-23 17:18:16.656750,252
2024-11-23 17:18:21.731285,254
